Gen 041 | 1 0 1 0 1 0 1 0 1 0 
Gen 042 | 0 1 0 1 0 1 0 1 0 1 
Gen 043 | 1 0 1 0 1 0 1 0 1 0 
Gen 044 | 0 1 0 1 0 1 0 1 0 1 
Gen 045 | 1 0 1 0 1 0 1 0 1 0 
Gen 046 | 0 1 0 1 0 1 0 1 0 1 
Gen 047 | 1 0 1 0 1 0 1 0 1 0 
Gen 048 | 0 1 0 1 0 1 0 1 0 1 
Gen 049 | 1 0 1 0 1 0 1 0 1 0 
Gen 050 | 0 1 0 1 0 1 0 1 0 1 
Gen 051 | 1 0 1 0 1 0 1 0 1 0 
Gen 052 | 0 1 0 1 0 1 0 1 0 1 
Gen 053 | 1 0 1 0 1 0 1 0 1 0 
Gen 054 | 0 1 0 1 0 1 0 1 0 1 
Gen 055 | 1 0 1 0 1 0 1 0 1 0 
Gen 056 | 0 1 0 1 0 1 0 1 0 1 
Gen 057 | 1 0 1 0 1 0 1 0 1 0 
Gen 058 | 0 1 0 1 0 1 0 1 0 1 
Gen 059 | 1 0 1 0 1 0 1 0 1 0 
Gen 060 | 0 1 0 1 0 1 0 1 0 1 
Gen 061 | 1 0 1 0 1 0 1 0 1 0 
Gen 062 | 0 1 0 1 0 1 0 1 0 1 
Gen 063 | 1 0 1 0 1 0 1 0 1 0 
Gen 064 | 0 1 0 1 0 1 0 1 0 1 
Gen 065 | 1 0 1 0 1 0 1 0 1 0 
Gen 066 | 0 1 0 1 0 1 0 1 0 1 
Gen 067 | 1 0 1 0 1 0 1 0 1 0 
Gen 068 | 0 1 0 1 0 1 0 1 0 1 
Gen 069 | 1 0 1 0 1 0 1 0 1 0 
Gen 070 | 0 1 0 1 0 1 0 1 0 1 
Gen 071 | 1 0 1 0 1 0 1 0 1 0 
Gen 072 | 0 1 0 1 0 1 0 1 0 1 
Gen 073 | 1 0 1 0 1 0 1 0 1 0 
Gen 074 | 0 1 0 1 0 1 0 1 0 1 
Gen 075 | 1 0 1 0 1 0 1 0 1 0 
Gen 076 | 0 1 0 1 0 1 0 1 0 1 
Gen 077 | 1 0 1 0 1 0 1 0 1 0 
Gen 078 | 0 1 0 1 0 1 0 1 0 1 
Gen 079 | 1 0 1 0 1 0 1 0 1 0 
